IdentityReference,AccessControlType,FileSystemRights,IsInherited
dratcliffe0,Allow,Read,False
vmundle1,Allow,ExecuteFile,False
kjorczyk2,Deny,FullControl,False
aoldroyde3,Deny,Write,True
mcrumpe4,Deny,Read,False
mmorecomb5,Allow,ExecuteFile,False
awoolerton6,Deny,Modify,False
bklimentyonok7,Allow,ReadAndExecute,False
tdunton8,Deny,FullControl,False
goxenford9,Deny,Write,True
pvallendera,Allow,Modify,False
djillisb,Allow,Write,True
jfiggenc,Allow,ExecuteFile,False
skettelld,Allow,Read,False
bscottesmoore,Allow,Read,False
vstarmoref,Allow,ListFolderContents,False
rreinag,Allow,ReadAndExecute,False
mnormandh,Deny,Read,False
lgerii,Allow,FullControl,False
bmaddiganj,Allow,FullControl,False
rsansamk,Allow,Read,True
ebrakespearl,Deny,Write,False
zvedekhinm,Deny,Read,True
cesselinn,Deny,FullControl,False
gbardeno,Deny,Read,False
cpacittip,Deny,Write,False
bclaraq,Allow,Write,False
gclyder,Deny,FullControl,False
kpenhaleuracks,Allow,Read,True
zablewhitet,Allow,ReadAndExecute,False
crodwellu,Allow,ReadAndExecute,False
zshimonv,Allow,Write,True
gmandrierw,Deny,ReadAndExecute,True
ebrollyx,Deny,ReadAndExecute,False
bairtony,Allow,ReadAndExecute,True
brobbenz,Deny,Read,True
rabby10,Deny,ReadAndExecute,False
jmatheson11,Allow,ReadAndExecute,False
nkristiansen12,Deny,Modify,True
vloughead13,Deny,Modify,True
rheadingham14,Allow,ExecuteFile,False
spentin15,Deny,FullControl,True
mhuyhton16,Allow,Write,False
rbrewin17,Allow,ReadAndExecute,False
rtayloe18,Allow,FullControl,True
kasprey19,Deny,ListFolderContents,True
aloadwick1a,Deny,ListFolderContents,False
fbonnesen1b,Allow,Modify,True
nbruun1c,Allow,Modify,True
fraiman1d,Deny,Write,True
eharvey1e,Allow,ListFolderContents,False
pchristophle1f,Allow,FullControl,False
sellam1g,Allow,ExecuteFile,True
gmacnish1h,Deny,Write,True
oaudry1i,Allow,Read,True
kjeaves1j,Allow,ListFolderContents,False
anenci1k,Allow,ExecuteFile,False
ccampione1l,Allow,FullControl,False
bolennikov1m,Allow,Read,True
tdemongeot1n,Allow,Write,False
sroads1o,Allow,ReadAndExecute,True
tsamter1p,Allow,Write,False
nlanston1q,Deny,ExecuteFile,True
vtippell1r,Deny,Write,False
kwodham1s,Allow,FullControl,True
nmoreside1t,Deny,ReadAndExecute,True
avondra1u,Allow,FullControl,True
ckrolak1v,Allow,ListFolderContents,False
hleel1w,Allow,ListFolderContents,True
vbignal1x,Allow,ExecuteFile,True
bharcarse1y,Deny,Write,True
nwarcup1z,Deny,Write,False
nperfitt20,Allow,ReadAndExecute,True
atingcomb21,Deny,Read,False
pbampton22,Deny,Write,False
lfibbit23,Deny,ReadAndExecute,True
jperse24,Deny,ExecuteFile,True
pemor25,Allow,FullControl,True
